GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.pcabrera.hotel_search.application.service,AgeSignatureService,0,12,0,0,0,4,0,2,0,2
,com.pcabrera.hotel_search.application.service,SearchMessageFactoryService,0,16,0,0,0,6,0,2,0,2
,com.pcabrera.hotel_search.application.service,CountSearchService,0,47,0,0,0,14,0,2,0,2
,com.pcabrera.hotel_search.application.service,SearchService,0,46,0,2,0,15,0,4,0,3
,com.pcabrera.hotel_search.application.service,SearchValidatorService,0,15,0,2,0,4,0,3,0,2
,com.pcabrera.hotel_search.infrastructure.config.exception,ApiException,7,11,0,0,3,4,1,2,1,2
,com.pcabrera.hotel_search.infrastructure.config.exception,ErrorResponse,15,0,0,0,1,0,1,0,1,0
,com.pcabrera.hotel_search.infrastructure.config,ErrorCode,3,43,0,0,1,10,1,3,1,3
,com.pcabrera.hotel_search.infrastructure.config,GlobalExceptionHandler,60,0,8,0,24,0,8,0,4,0
,com.pcabrera.hotel_search.infrastructure.adapter.out.kafka,SearchKafkaProducer,0,19,0,0,0,6,0,2,0,2
,com.pcabrera.hotel_search.infrastructure.adapter.out.kafka,SearchKafkaConsumer,0,44,0,0,0,13,0,2,0,2
,com.pcabrera.hotel_search.infrastructure.adapter.in.domain,CountResponseDomain,0,12,0,0,0,1,0,1,0,1
,com.pcabrera.hotel_search.infrastructure.adapter.in.domain,SearchResponseDomain,0,6,0,0,0,1,0,1,0,1
,com.pcabrera.hotel_search.infrastructure.adapter.in.domain,SearchRequestDomain,0,18,0,0,0,3,0,1,0,1
,com.pcabrera.hotel_search,HotelSearchApplication,8,0,0,0,3,0,2,0,2,0
,com.pcabrera.hotel_search.domain.model,SearchResultDomain,0,15,0,0,0,1,0,1,0,1
,com.pcabrera.hotel_search.domain.model,SearchMessage,0,21,0,0,0,3,0,1,0,1
,com.pcabrera.hotel_search.application.usecase,CreateSearchUseCase,0,22,0,0,0,5,0,1,0,1
,com.pcabrera.hotel_search.application.usecase,CountSearchUseCase,0,5,0,0,0,1,0,1,0,1
,com.pcabrera.hotel_search.infrastructure.adapter.in,SearchController,0,70,0,0,0,17,0,4,0,4
,com.pcabrera.hotel_search.infrastructure.adapter.out.persistence,SearchPersistenceAdapter,0,27,0,0,0,7,0,3,0,3
